Order;City;Cantidad
1001483118891-01;Cuenca;1
1001490821129-01;Santa Cruz;1
1001491579303-01;Ambato;1
1001492077209-01;Mejia;1
1001531439970-01;Santa Elena;1
1001542373033-01;Guayaquil;3
1001561668092-01;Guaranda;1
1001570848017-01;Portoviejo;10
1001582414123-01;Guayaquil;1
1001590289470-01;Guayaquil;1
1001590624379-01;Quito;1
1001601534825-01;Quito;1
1001603461372-01;Daule;1
1001610526378-01;Quito;1
1001610799448-01;Atacames;1
1001611262520-01;Machala;1
1001611408874-01;Quito;15
1001612211790-01;Quevedo;1
1001612546793-01;Quevedo;1
1001613374658-01;Quito;1
1001620368073-01;Quito;3
1001621370459-01;Pedernales;1
1001621891569-01;Guayaquil;1
1001622033787-01;Quito;3
1001622526568-01;Quito;1
1001630750589-01;Riobamba;1
1001631773789-01;Latacunga;1
1001640099006-01;Quito;2
1001640268438-01;Daule;2
1001640951585-01;Machala;1
1001641569762-01;Playas;1
1001641631375-01;Las Naves;3
1001641772194-01;Guayaquil;8
1001650188693-01;Guayaquil;1
1001650199978-01;Quito;1
1001650294084-01;Cuenca;1
1001652300138-01;Guayaquil;1
1001661555247-01;Quito;1
1001662786008-01;Quevedo;1
1001663598787-01;Guayaquil;1
1001670071428-01;Guayaquil;5
1001670455212-01;Machala;1
1001670475410-01;Guayaquil;20
1001681098704-01;Samborondon;4
1001683341601-01;Portoviejo;1
1001700364426-01;Portoviejo;1
1001700897709-01;Santa Lucia;1
1001701048816-01;Guayaquil;1
1001701373646-01;Guayaquil;3
1001703596921-01;Tena;1
1001711679486-01;Quito;9
1001721350346-01;Guayaquil;5
1001721805889-01;Guayaquil;2
1001741912176-01;Esmeraldas;2
1001821076940-01;Babahoyo;2
1001823530002-01;Valencia;1
1001830796802-01;Ambato;2
1001831016220-01;Quito;1
1001841200051-01;Guayaquil;1
1001841295856-01;Quito;6
1001841409568-01;Machala;1
1001843087161-01;Duran;1
1001850554407-01;Guayaquil;4
1001861380235-01;Guayaquil;6
1001870831159-01;Guayaquil;1
1001881075416-01;Guayaquil;1
1001883170286-01;Guayaquil;6
1001890427215-01;Catamayo;1
1001890628929-01;Cumanda;1
1001891630626-01;Samborondon;1
1001891760380-01;Orellana;1
1001892391627-01;Guayaquil;4
1001902005767-01;Quito;1
1001902620280-01;Esmeraldas;2
1001902622966-01;Daule;1
1001902828576-01;Quito;10
1001911009724-01;Guayaquil;10
1001911485505-01;Duran;1
1001921481159-01;La Libertad;1
1001922844256-01;Puyo;1
1001933188323-01;Quito;1
1001940973061-01;San Cristobal;50
1001952637726-01;Quito;1
1001953360424-01;Tulcan;1
1001953563533-01;Puyo;1
1001960977485-01;Quito;1
1001961003677-01;Pedro Vicente Maldonado;1
1002031988288-01;Ambato;2
1002070053746-01;Cotacachi;1
1002080130144-01;Quito;1
1002080626327-01;Ventanas;1
1002083061474-01;Quito;1
1002093195105-01;Guayaquil;1
1002102079969-01;Guayaquil;1
1002102433820-01;Guayaquil;1
1002103207260-01;Guayaquil;1
1002103297208-01;Samborondon;1
1002110716247-01;Santo Domingo;1
1002111428704-01;Guayaquil;1
1002111589322-01;Quininde;3
1002112503284-01;Daule;5
1002121418478-01;Bolivar;1
1002121990268-01;Santa Rosa;1
1002122187722-01;Tosagua;1
1002122412147-01;Guayaquil;17
1002122422182-01;Guayaquil;3
1002122894297-01;Daule;1
1002131449675-01;Guayaquil;1
1002131882708-01;Cuenca;1
1002141307898-01;Shushufindi;1
1002141355769-01;Guayaquil;2
1002142583358-01;Quito;1
1002142667821-01;Guayaquil;1
1002151160203-01;Quito;4
1002152959283-01;Buena Fe;1
1002160558890-01;Guayaquil;4
1002160733412-01;Daule;1
1002161840100-01;Quito;5
1002162638581-01;Quito;1
1002162833069-01;Daule;17
1002170147023-01;Guayaquil;1
1002170821581-01;Duran;1
1002171052270-01;Duran;1
1002171334957-01;Machala;3
1002171956405-01;Guayaquil;1
1002172172565-01;Daule;1
1002172461652-01;Cuenca;1
1002173078992-01;Guayaquil;1
1002181215354-01;Santa Rosa;2
1002190024994-01;Quito;1
1002190355821-01;Guayaquil;1
1002190550475-01;Guayaquil;2
1002192237045-01;La Libertad;1
1002193164677-01;Guayaquil;1
1002200122060-01;Quito;1
1002200304407-01;Quito;1
1002200445037-01;Manta;1
1002202559698-01;Milagro;1
1002212091606-01;Santa Elena;1
1002252047694-01;Guayaquil;1
1002271757458-01;Guayaquil;1
1002300414795-01;Daule;2
1002301003169-01;La Libertad;1
1002301166537-01;Chone;1
1002312039269-01;Tiwintza;1
1002321597720-01;Machala;24
1002330410182-01;Guayaquil;8
1002333274022-01;Santa Rosa;2
1002333520419-01;Guayaquil;1
1002340805663-01;El Empalme;3
1002340954572-01;Quito;1
1002342015348-01;Guayaquil;3
1002342711338-01;Guayaquil;1
1002350116465-01;Portoviejo;2
1002353182901-01;Guayaquil;3
1002360055580-01;Marcelino Mariduena;11
1002361383066-01;Duran;3
1002361441302-01;Cayambe;1
1002361933507-01;Guayaquil;1
1002362214135-01;Santo Domingo;2
1002363070142-01;Guayaquil;1
1002370483677-01;Guayaquil;5
1002370588740-01;Guayaquil;3
1002370898227-01;Manta;30
1002371621940-01;Pasaje;1
1002372171661-01;Guayaquil;2
1002382532108-01;Portoviejo;1
1002390125234-01;Guayaquil;4
1002390423877-01;Guayaquil;1
1002390867630-01;Chone;3
1002391896606-01;Guayaquil;1
1002391964653-01;Guayaquil;1
1002402064185-01;Puyo;1
1002412112677-01;Pujili;1
1002413350547-01;Guayaquil;1
1002420709982-01;Manta;1
1002422482495-01;Quito;1
1002423385985-01;Riobamba;1
1002430163193-01;Quito;2
1002431063335-01;Quito;1
1002442349012-01;Guayaquil;1
1002450219606-01;Guayaquil;5
1002450546159-01;Guayaquil;25
1002450704521-01;Quito;1
1002452833186-01;Naranjal;1
1002452963232-01;Portoviejo;1
1002472957372-01;Milagro;14
1002530064831-01;Quito;1
1002541655180-01;Vinces;1
1002542074481-01;Arenillas;1
1002543392490-01;Zaruma;1
1002550555011-01;Quito;1
1002551449774-01;Guayaquil;1
1002552253890-01;Vinces;1
1002562503641-01;Guayaquil;1
1002570083436-01;Quito;5
1002571235640-01;Guayaquil;1
1002580902899-01;Quito;1
1002591248300-01;Quito;1
1002591918866-01;Guayaquil;1
1002600173057-01;Nobol;1
1002600419057-01;Guayaquil;9
1002600803764-01;Quito;1
1002602942660-01;Guayaquil;1
1002602974515-01;Cayambe;1
1002612124578-01;Quito;3
1002620714210-01;Guayaquil;1
1002621133025-01;Guayaquil;1
1002652131910-01;Guayaquil;1
1002660466708-01;Quito;11
1002662018189-01;Milagro;1
1002672482099-01;Loja;2
1002693032352-01;El Empalme;1
1002702607716-01;Guayaquil;1
1002703239725-01;Guayaquil;1
1002750046890-01;Samborondon;24
1002770731619-01;Guayaquil;1
1002771375020-01;Quito;1
1002781726554-01;Guaranda;1
1002782996152-01;Ambato;1
1002791593695-01;Gualaquiza;1
1002791972804-01;Quito;1
1002792391434-01;Puyo;1
1002802199501-01;Archidona;1
1002802743084-01;Guayaquil;1
1002812626823-01;Samborondon;2
1002812854561-01;Guaranda;1
1002820099851-01;Guayaquil;1
1002820132499-01;Quito;1
1002822441849-01;Manta;2
1002830087769-01;Orellana;1
1002830869564-01;Ambato;2
1002831702626-01;Riobamba;4
1002840381015-01;Santa Elena;1
1002840435096-01;Quevedo;1
1002840667023-01;Daule;1
1002841406931-01;Guayaquil;1
1002851212951-01;Tena;1
1002851645487-01;Quito;1
1002870156656-01;Quito;1
1002873561657-01;Daule;1
1002881270812-01;San Vicente;1
1002892384185-01;Pedro Vicente Maldonado;1
1002902751711-01;Guayaquil;1
1002910376288-01;Santa Ana;3
1002910660410-01;Puyo;1
1002913133323-01;La Troncal;1
1002913246297-01;Quito;4
1002921215787-01;Santa Rosa;1
1002922031850-01;Guayaquil;5
1002922483237-01;Quito;1
1003000632965-01;Quito;3
1003001747102-01;Cuenca;1
1003020444871-01;Quito;1
1003022023307-01;Quito;2
1003030606199-01;Guayaquil;1
1003031946446-01;Riobamba;2
1003041732996-01;Riobamba;4
1003042248979-01;Santa Elena;1
1003042877557-01;Portoviejo;1
1003043419729-01;Esmeraldas;2
1003043434068-01;Milagro;4
1003050404771-01;Quito;1
1003050601266-01;Guayaquil;2
1003051582266-01;Quito;4
1003051851503-01;Quito;4
1003060340614-01;Guayaquil;9
1003071379585-01;Quito;1
1003072229762-01;Guayaquil;13
1003080782482-01;Quito;2
1003081771694-01;Quito;1
1003082368395-01;Chambo;1
1003090887703-01;Guayaquil;5
1003092173011-01;Daule;1
1003092963152-01;Esmeraldas;1
1003093000561-01;Guayaquil;7
1003100580897-01;Guayaquil;1
1003102186120-01;Portoviejo;1
1003103333278-01;Sucua;1
1003120492932-01;Guayaquil;1
1003122361830-01;La Libertad;2
1003140508580-01;Manta;1
1003140738974-01;Guayaquil;9
1003141913332-01;Guayaquil;1
1003150298499-01;Loja;3
1003151866229-01;Guayaquil;1
1003152412331-01;Quito;3
1003153596895-01;Babahoyo;1
1003161958154-01;Quito;1
1003162759588-01;Quito;1
1003170196864-01;Quito;3
1003170908692-01;Quito;1
1003173231700-01;Ambato;1
1003182537771-01;Guayaquil;1
1003193004482-01;Guayaquil;9
1003251698794-01;Pedro Carbo;1
1003260615583-01;Quito;1
1003262842252-01;Guayaquil;10
1003271697886-01;Guayaquil;1
1003272712346-01;Quito;1
1003272992487-01;Quito;1
1003281056825-01;Loja;2
1003281338726-01;Guayaquil;1
1003281755682-01;Jipijapa;3
1003291314170-01;Cuenca;1
1003292182367-01;Guayaquil;1
1003293120040-01;Quito;1
1003300589574-01;Guayaquil;1
1003310672865-01;Quito;2
1003311026928-01;Guayaquil;1
1003311991687-01;Guayaquil;1
1003312933804-01;Lomas De Sargentillo;1
1003313088411-01;Quito;3
1003321816670-01;Guayaquil;1
1003322718731-01;Guayaquil;1
1003322794592-01;Portoviejo;1
1003322892038-01;Quevedo;1
1003330797544-01;Portoviejo;1
1003330916003-01;Daule;6
1003332376129-01;Guayaquil;51
1003332706537-01;Portoviejo;1
1003333047743-01;Buena Fe;3
1003333157861-01;Machala;1
1003340864441-01;Guayaquil;1
1003341255711-01;Guayaquil;40
1003343134898-01;Cayambe;5
1003350642717-01;Guayaquil;1
1003352360864-01;Zamora;1
1003361550095-01;Guayaquil;1
1003371292164-01;Guayaquil;1
1003371738440-01;Cuenca;2
1003373323452-01;Guayaquil;1
1003373447170-01;Guayaquil;1
1003381187215-01;Quito;1
1003391275699-01;Cuenca;3
1003403457971-01;Quininde;7
1003471680650-01;Cuenca;3
1003481494380-01;Quito;1
1003491444987-01;Guayaquil;1
1003491834368-01;Nobol;1
1003493483547-01;Guayaquil;4
1003510605098-01;Quito;3
1003530269959-01;Loja;4
1003530365323-01;Ruminahui;4
1003532184879-01;Guayaquil;2
1003533520808-01;El Empalme;2
1003551706978-01;Samborondon;3
1003552449111-01;Quito;3
1003552612200-01;Guayaquil;13
1003552614551-01;Salinas;1
1003560964056-01;Quito;1
1003561878109-01;Machala;1
1003570451594-01;Cuenca;6
1003571781570-01;Quito;7
1003572785039-01;Santa Rosa;1
1003572863983-01;Quito;20
1003582064620-01;Guayaquil;1
1003582309001-01;Quito;4
1003583102021-01;Quito;4
1003583419229-01;Esmeraldas;1
1003592635722-01;Guayaquil;1
1003593086186-01;Guayaquil;1
1003593343723-01;Quito;1
1003600648585-01;Guayaquil;2
1003610709115-01;Quito;4
1003620984070-01;Babahoyo;1
1003621230011-01;Quito;5
1003630023203-01;Milagro;31
1003630421271-01;Quito;6
1003640109302-01;Latacunga;1
1003640526421-01;Quevedo;15
1003652014006-01;Guayaquil;3
1003653583679-01;Santa Elena;1
1003663099875-01;Guayaquil;1
1003740887631-01;San Lorenzo;1
1003741658595-01;Guayaquil;1
1003750658317-01;Esmeraldas;1
1003752307761-01;Quito;7
1003760070232-01;Tena;1
1003760574481-01;Quito;1
1003761367992-01;Quito;1
1003761508240-01;Quito;1
1003761631845-01;Lago Agrio;1
1003761963759-01;Guayaquil;5
1003762629843-01;Guayaquil;1
1003763013536-01;Guayaquil;1
1003763140487-01;Quito;1
1003763296835-01;Guayaquil;1
1003763462486-01;Sucua;1
1003763493650-01;Guayaquil;11
1003763562873-01;Babahoyo;1
1003770350621-01;Quito;1
1003771980108-01;Quito;14
1003773229813-01;Quito;1
1003780465512-01;Guayaquil;5
1003782219638-01;Guayaquil;1
1003791558126-01;Quito;4
1003800183286-01;Daule;3
1003800652262-01;Esmeraldas;20
1003802601079-01;Guayaquil;1
1003802899099-01;Guayaquil;8
1003811085520-01;Guayaquil;1
1003812810353-01;Manta;1
1003820409932-01;Santa Elena;1
1003830671695-01;Guayaquil;8
1003831183136-01;Nobol;1
1003831753427-01;Guayaquil;2
1003832156517-01;Manta;1
1003840264578-01;Cuenca;2
1003842718636-01;Quito;1
1003842849419-01;Loja;1
1003850004928-01;Quito;2
1003850153338-01;Loja;43
1003850367470-01;San Lorenzo;1
1003850666687-01;Guayaquil;1
1003851741819-01;Daule;4
1003852061339-01;Ventanas;1
1003860300516-01;Macas;1
1003860973450-01;Quito;5
1003861416147-01;Guayaquil;5
1003870388155-01;Quito;1
1003870933631-01;Quevedo;53
1003872090370-01;Guayaquil;14
1003901495325-01;Manta;1
1003951348736-01;Quito;6
1003970554160-01;Cuenca;53
1003970952559-01;Cuenca;52
1003971671031-01;Quito;4
1003980458122-01;Quito;4
1003981300442-01;Quito;4
1003981417088-01;Loja;1
1003983491120-01;Guayaquil;1
1003990075049-01;Palora;1
1003990543966-01;Marcelino Mariduena;38
1003992864690-01;Quito;1
1004000606069-01;Quito;1
1004001002433-01;Quito;15
1004001280176-01;Ruminahui;68
1004001372008-01;Guayaquil;3
1004001507177-01;Daule;4
1004003025464-01;Quito;24
1004003134626-01;La Mana;1
1004010441252-01;Palora;15
1004020102200-01;Quito;1
1004020430009-01;Quito;17
1004020890281-01;Guayaquil;41
1004020904857-01;Guayaquil;29
1004021335964-01;Esmeraldas;1
1004022124068-01;Loja;1
1004022321048-01;Guayaquil;1
1004022367794-01;Machala;27
1004022544235-01;Pedro Carbo;1
1004022975223-01;Quito;9
1004023053989-01;Latacunga;1
1004031106711-01;Guayaquil;1
1004033190873-01;Guayaquil;3
1004033417597-01;Quito;1
1004040248715-01;Quito;5
1004041733366-01;Portoviejo;1
1004050605817-01;Quito;1
1004050705571-01;Quito;1
1004050836583-01;Daule;10
1004051061498-01;Daule;5
1004060247410-01;Guayaquil;1
1004061720573-01;Guayaquil;1
1004062221790-01;Quito;20
1004070913532-01;Quito;1
1004070945181-01;Guayaquil;39
1004080192485-01;Guayaquil;1
1004082048385-01;Guayaquil;29
1004082618956-01;Quito;77
1004083122047-01;Guayaquil;1
1004090938038-01;Guayaquil;3
1004090938736-01;Guayaquil;2
1004090978067-01;Guayaquil;3
1004091321766-01;Manta;3
1004091535214-01;Quito;35
1004091662616-01;Quito;14
1004093432954-01;Guayaquil;10
1004100808740-01;Puyo;2
1004101752651-01;Guayaquil;13
1004102353108-01;Lago Agrio;30
1004102380209-01;Quito;19
1004102552236-01;Salinas;1
1004102605275-01;Santa Elena;12
1004102810542-01;Antonio Ante;1
1004102819575-01;Quito;2
1004103230816-01;Salinas;1
1004110732610-01;Guayaquil;2
1004111401084-01;Salinas;1
1004111487899-01;Guayaquil;10
1004111661304-01;Quito;5
1004111822879-01;Quito;19
1004111994315-01;Guayaquil;2
1004121104415-01;Quito;2
1004121279715-01;Quito;3
1004121931161-01;Quito;37
1004122066901-01;Guayaquil;22
1004122350374-01;Quito;47
1004122428528-01;Quito;37
1004131896391-01;Quito;10
1004140509503-01;Quito;10
1004141946197-01;Ventanas;28
1004170545383-01;Machala;1
1004193437031-01;Guayaquil;17
1004211555167-01;Quito;3
1004221983256-01;Quito;1
1004222086233-01;Guayaquil;1
1004223335433-01;Quito;19
1004230934430-01;Cuenca;2
1004232560355-01;Guayaquil;3
1004250459911-01;Loja;29
1004250992296-01;Quito;4
1004251895624-01;Quito;51
1004252114673-01;Guayaquil;30
1004252249139-01;Quito;21
1004253140100-01;Sucre;1
1004261588172-01;Cuenca;1
1004263264271-01;Guayaquil;47
1004270196931-01;Quito;15
1004270769860-01;Guayaquil;1
1004270854649-01;Guayaquil;29
1004280249296-01;Machala;1
1004280888303-01;Guayaquil;8
1004281592172-01;Quito;1
1004282548983-01;Tulcan;90
1004291627290-01;Quito;1
1004292193745-01;Guayaquil;1
1004292728518-01;Milagro;11
1004293405257-01;Quito;6
1004293495742-01;Santa Lucia;1
1004301268025-01;Guayaquil;10
1004302699488-01;Quito;1
1004321669078-01;Guayaquil;6
1004322598081-01;Quito;1
1004322881851-01;Quito;1
1004322894803-01;Quito;1
1004323464424-01;Quito;1
1004330009181-01;Daule;1
1004330603106-01;Loja;1
1004331876741-01;Guayaquil;6
1004340378933-01;Guayaquil;7
1004340956788-01;Quito;1
1004342428372-01;El Empalme;18
1004351831826-01;Quito;5
1004352636692-01;Quito;23
1004361222184-01;Guayaquil;1
1004363592035-01;Guayaquil;1
1004402627821-01;Quito;1
1004460640390-01;Guayaquil;1
1004461138385-01;Quito;31
1004463011327-01;Urbina Jado - Salitre;1
1004463518114-01;Santo Domingo;1
1004470683298-01;Buena Fe;10
1004472614361-01;Sucre;1
1004472745993-01;Guayaquil;1
1004481421121-01;Quito;21
1004481531948-01;Esmeraldas;1
1004483071537-01;Guayaquil;1
1004491238564-01;Quito;1
1004492519892-01;Guayaquil;1
1004501052123-01;Guayaquil;1
1004501825699-01;Buena Fe;14
1004501905873-01;Guayaquil;33
1004510875801-01;Quito;1
1004511892820-01;Samborondon;28
1004512548570-01;Quito;1
1004513594092-01;Portoviejo;1
1004520993208-01;Cuenca;1
1004522982278-01;Quito;14
1004530469548-01;Quito;1
1004530555834-01;Quito;1
1004531387683-01;Quito;1
1004532352306-01;Guayaquil;1
1004532438683-01;Buena Fe;24
1004540017164-01;Quito;1
1004541840337-01;Guayaquil;1
1004542822276-01;Guayaquil;1
1004550014636-01;Daule;33
1004552443838-01;Quito;27
1004553191503-01;Riobamba;1
1004553352516-01;Quito;1
1004560538553-01;El Carmen;1
1004560723410-01;Quito;2
1004572466484-01;Quito;1
1004573138704-01;Quito;1
1004573596327-01;Salinas;13
1004581021293-01;Quito;9
1004581728662-01;Guayaquil;1
1004582018624-01;Guayaquil;1
1004583098742-01;Ruminahui;20
1004590306183-01;Quito;2
1004590859076-01;Guayaquil;1
1004590921710-01;Quito;1
1004591981650-01;Guayaquil;21
1004592974583-01;Duran;24
1004601602147-01;Quito;6
1004603564054-01;Cuenca;36
1004640988943-01;Quito;16
1004651516049-01;Quito;23
1004651995155-01;Machala;17
1004662091345-01;Marcelino Mariduena;1
1004662619166-01;Quito;19
1004681594664-01;Guayaquil;1
1004691180153-01;Ambato;11
1004692174723-01;Guayaquil;1
